date,title_de,title_fr,url
27.11.2024,OPENGIS.ch: QField Workshop in Zürich,OPENGIS.ch: QField Workshop in Zürich,https://www.opengis.ch/courses-calendar/
19.11.2024,OPENGIS.ch: Workshop QField à Lausanne,OPENGIS.ch: Workshop QField à Lausanne,https://www.opengis.ch/courses-calendar/
13.11.2024 & 20.11.2024,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Bern,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Bern,https://www.opengis.ch/courses-calendar/
30.10.2024 & 06.11.2024,OPENGIS.ch: QGIS Kurs Einsteiger in Bern,OPENGIS.ch: QGIS Kurs Einsteiger in Bern,https://www.opengis.ch/courses-calendar/
22.10.2024 & 29.10.2024,OPENGIS.ch: QGIS Cours avancé à Lausanne,OPENGIS.ch: QGIS Cours avancé à Lausanne,https://www.opengis.ch/courses-calendar/
01.10.2024 & 15.10.2024,OPENGIS.ch: QGIS Cours de base à Lausanne,OPENGIS.ch: QGIS Cours de base à Lausanne,https://www.opengis.ch/courses-calendar/
24.09.2024 & 25.09.2024,OST: Kurs PostGIS Einführung I,OST: Kurs PostGIS Einführung I,https://giswiki.hsr.ch/Kurs_PostGIS_Einf%C3%BChrung_I
19.09.2024,Kanton BL: QGIS Model Baker, Canton BL: QGIS Model Baker,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/schulungen/qgis-model-baker
05.09.2024,Kanton BL: QGIS Grundschulung, Canton BL: QGIS formation de base,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/schulungen/qgis-grundschulung
23.08.2024 & 24.08.2024 & 30.08.2024,BFH-HAFL: QGIS Grundlagenkurs (3-tägig),BFH-HAFL: QGIS Grundlagenkurs (3-tägig),https://www.bfh.ch/de/weiterbildung/fachkurse/qgis-grundlagen/
05.06.2024 & 12.06.2024,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich,OPENGIS.ch: QGIS Kurs Fortgeschrittene in Zürich,https://www.opengis.ch/courses-calendar/
22.05.2024 & 29.05.2024,OPENGIS.ch: QGIS Kurs Einsteiger in Zürich,OPENGIS.ch: QGIS Kurs Einsteiger in Zürich,https://www.opengis.ch/courses-calendar/
14.05.2024,Kanton BL: QGIS Grundschulung, Canton BL: QGIS formation de base,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/schulungen/qgis-grundschulung
23.04.2024,Kanton BL: QGIS Model Baker, Canton BL: QGIS Model Baker,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/schulungen/qgis-model-baker
14.03.2024,OPENGIS.ch: Modelbaker Kurs,OPENGIS.ch: Cours Modelbaker,https://www.opengis.ch/courses-calendar/
11.03.2024,ETH Zürich: Weiterbildungsmodul GIS: Geodatenmanagement mit PostgreSQL und PostGIS,"ETH Zürich, Weiterbildungsmodul GIS: Geodatenmanagement mit PostgreSQL und PostGIS",https://ikg.ethz.ch/cas-ris/module.html
07.03.2024,"OPENGIS.ch: INTERLIS Webinar, Online","OPENGIS.ch: INTERLIS Webinar, en-ligne",https://www.opengis.ch/courses-calendar/
15.02.2024,OST: Kurs QGIS Fortgeschrittene,OST: Kurs QGIS Fortgeschrittene,https://giswiki.hsr.ch/Kurs_QGIS_Fortgeschrittene
01.02.2024 & 02.02.2024,OST: Kurs QGIS Einführung I,OST: Kurs QGIS Einführung I,https://giswiki.hsr.ch/Kurs_QGIS_Einf%C3%BChrung_I
24.01.2024 & 31.01.2024,OPENGIS.ch: Cours QGIS avancé à Lausanne,OPENGIS.ch: Cours QGIS avancé à Lausanne,https://www.opengis.ch/courses-calendar/
10.01.2024,OPENGIS.ch: Cours QGIS de base à Lausanne,OPENGIS.ch: Cours QGIS de base à Lausanne,https://www.opengis.ch/courses-calendar/
22.11.2023,Drittes INTERLIS Anwender Treffen,3e rencontre des utilisateurs INTERLIS,https://interlis.discourse.group/t/3-interlis-anwender-innen-treffen/151
15.11.2023,Kurs QGIS Einführung,Kurs QGIS Einführung,https://giswiki.hsr.ch/Kurs_QGIS_Einf%C3%BChrung_I
14.11.2023,Journée romande de la Geoinformation 2023,Journée romande de la Geoinformation 2023,https://georomandie.com/
14.11.2022,Kurs QGIS Einführung,Kurs QGIS Einführung,https://giswiki.hsr.ch/Kurs_QGIS_Einf%C3%BChrung_I
15.11.2020,Kurs QGIS Einführung,Kurs QGIS Einführung,https://giswiki.hsr.ch/Kurs_QGIS_Einf%C3%BChrung_I
